Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
123,Sunday Aug 21,boxscore,BAL,,HOU,L,3,5,,67-56,3,2.5,Keuchel,Gallardo,Giles,2:32,D,29734,---
124,Monday Aug 22,boxscore,BAL,,WSN,W,4,3,,68-56,3,2.0,Bundy,Cole,Britton,2:31,N,31660,+
125,Tuesday Aug 23,boxscore,BAL,,WSN,W,8,1,,69-56,3,2.0,Gausman,Lopez,Worley,3:12,N,26697,++
126,Wednesday Aug 24,boxscore,BAL,@,WSN,W,10,8,,70-56,3,1.0,Miley,Roark,,3:28,N,39100,+++
127,Thursday Aug 25,boxscore,BAL,@,WSN,L,0,4,,70-57,3,1.0,Scherzer,Jimenez,,2:43,N,39722,-
128,Friday Aug 26,boxscore,BAL,@,NYY,L,4,14,,70-58,3,2.0,Cessa,Gallardo,,2:51,N,38423,--
129,Saturday Aug 27,boxscore,BAL,@,NYY,L,5,13,,70-59,3,3.0,Layne,Bundy,,3:29,D,38843,---
130,Sunday Aug 28,boxscore,BAL,@,NYY,W,5,0,,71-59,3,3.0,Gausman,Sabathia,,3:07,D,38002,+
131,Monday Aug 29,boxscore,BAL,,TOR,L,1,5,,71-60,3,4.0,Estrada,Miley,,2:35,N,15532,-
132,Tuesday Aug 30,boxscore,BAL,,TOR,W,5,3,,72-60,3,3.0,Brach,Grilli,Britton,2:34,N,16083,+
133,Wednesday Aug 31,boxscore,BAL,,TOR,L,3,5,,72-61,3,4.0,Sanchez,Gallardo,,3:12,N,16161,-
134,Friday Sep 2,boxscore,BAL,,NYY,W,8,0,,73-61,3,3.0,Bundy,Green,,2:52,N,24226,+
135,Saturday Sep 3,boxscore,BAL,,NYY,W,2,0,,74-61,3,2.0,Gausman,Sabathia,Britton,3:02,N,30855,++
136,Sunday Sep 4,boxscore,BAL,,NYY,L,2,5,,74-62,3,3.0,Severino,Miley,Betances,3:17,D,31161,-
137,Monday Sep 5,boxscore,BAL,@,TBR,W,7,3,,75-62,3,2.0,Jimenez,Andriese,,2:35,D,12256,+
138,Tuesday Sep 6,boxscore,BAL,@,TBR,W,11,2,,76-62,3,1.0,Gallardo,Odorizzi,,3:08,N,12207,++
139,Wednesday Sep 7,boxscore,BAL,@,TBR,L,6,7,,76-63,3,2.0,Boxberger,Givens,Colome,3:25,D,10537,-
140,Friday Sep 9,boxscore,BAL,@,DET,L,3,4,,76-64,3,3.0,Wilson,Brach,Rodriguez,2:54,N,32140,--
141,Saturday Sep 10,boxscore,BAL,@,DET,W,11,3,,77-64,3,2.0,Jimenez,Zimmermann,,3:05,N,36634,+
142,Sunday Sep 11,boxscore,BAL,@,DET,W,3,1,,78-64,2,2.0,Tillman,Verlander,Britton,3:23,D,33069,++
143,Monday Sep 12,boxscore,BAL,@,BOS,L,2,12,,78-65,3,3.0,Price,Miley,,2:40,N,37551,-
144,Tuesday Sep 13,boxscore,BAL,@,BOS,W,6,3,,79-65,2,2.0,Bundy,Pomeranz,Britton,3:29,N,38041,+
145,Wednesday Sep 14,boxscore,BAL,@,BOS,W,1,0,,80-65,2,1.0,Gausman,Porcello,Britton,2:35,N,37973,++
146,Thursday Sep 15,boxscore,BAL,,TBR,L,6,7,,80-66,2,2.0,Boxberger,Gallardo,Colome,3:27,N,19233,-
147,Friday Sep 16,boxscore,BAL,,TBR,W,5,4,,81-66,2,2.0,Brach,Boxberger,Britton,2:44,N,30094,+
148,Saturday Sep 17,boxscore,BAL,,TBR,L,2,5,,81-67,2,3.0,Andriese,Tillman,Colome,3:00,N,27823,-
149,Sunday Sep 18,boxscore,BAL,,TBR,W,2,1,,82-67,2,3.0,Brach,Garton,Britton,3:01,D,28427,+
150,Monday Sep 19,boxscore,BAL,,BOS,L,2,5,,82-68,2,4.0,Porcello,Bundy,,2:33,N,18456,-
151,Tuesday Sep 20,boxscore,BAL,,BOS,L,2,5,,82-69,3,5.0,Rodriguez,Gausman,Kimbrel,3:14,N,20387,--
152,Wednesday Sep 21,boxscore,BAL,,BOS,L,1,5,,82-70,3,6.0,Buchholz,Jimenez,,2:55,N,20865,---
153,Thursday Sep 22,boxscore,BAL,,BOS,L,3,5,,82-71,3,7.0,Price,Worley,Kimbrel,3:19,N,26788,----
154,Friday Sep 23,boxscore,BAL,,ARI,W-wo,3,2,12,83-71,3,7.0,Drake,Koch,,4:00,N,37815,+
155,Saturday Sep 24,boxscore,BAL,,ARI,W,6,1,,84-71,3,7.0,Miley,Ray,,2:36,N,40610,++
156,Sunday Sep 25,boxscore,BAL,,ARI,W,2,1,,85-71,3,7.0,Bundy,Shipley,Britton,2:43,D,31229,+++
157,Tuesday Sep 27,boxscore,BAL,@,TOR,L,1,5,,85-72,3,7.0,Sanchez,Gausman,,2:39,N,44762,-
158,Wednesday Sep 28,boxscore,BAL,@,TOR,W,3,2,,86-72,3,6.0,Duensing,Osuna,Britton,3:04,N,44668,+
159,Thursday Sep 29,boxscore,BAL,@,TOR,W,4,0,,87-72,2,5.0,Jimenez,Stroman,,2:35,N,47791,++
160,Friday Sep 30,boxscore,BAL,@,NYY,W,8,1,,88-72,2,5.0,Gallardo,Pineda,,3:26,N,33955,+++
161,Saturday Oct 1,boxscore,BAL,@,NYY,L,3,7,,88-73,2,5.0,Clippard,Brach,,2:54,D,33222,-
162,Sunday Oct 2,boxscore,BAL,@,NYY,W,5,2,,89-73,2,4.0,Gausman,Cessa,,2:32,D,33277,+
